一级类目,二级类目,三级类目,三级类目链接,类型,关键词
图书、音像、电子书刊,电子书刊,网络原创,https://e.jd.com/products/5272-10941.html,分类：,言情 历史 短篇 仙侠 奇幻 体育 职场 玄幻 都市 灵异 武侠 二次元 军事 原创品汇 游戏 科幻 女性
图书、音像、电子书刊,电子书刊,数字杂志,https://e.jd.com/products/5272-10953.html,分类：,生活/家庭 经管理财 社科 娱乐/时尚 文学艺术 文摘 科技 学习参考
图书、音像、电子书刊,电子书刊,多媒体图书,https://e.jd.com/products/5272-10962.html,分类：,儿童 电子试卷 其他
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",出版社： 已选条件：,北京语言大学出版社 新世纪出版社 外语教学与研究出版社 未来出版社 Wordsworth Walker Books Ltd Vintage Usborne Thames & Hudson Simon & Schuster Scholastic Random House Puffin Books Puffin Phaidon Press Penguin Books Pan Macmillan Oxford University Press
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",价格：,0-29 30-59 60-89 90-199 200-299 300以上
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",少儿年龄：,Ages 0-5 Ages 6-12
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",童书类型：,"Animals(动物) Art & Music(艺术/音乐) Audible Books(发声读物) Education & Reference(参考书/教育) Gifts & Toys(礼品玩具书) History(历史) Holidays & Celebrations(节日/假日) Literature & Fiction(文学) Picture Books(绘本) Science, Nature & How It Works(科普/百科) Sports & Activities(运动与活动) Touch & Feel Books(触摸型读物)"
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",童书系列：,Berenstain Bear(贝贝熊) Biscuit(小饼干) Captain Underpants(内裤超人) Clifford(大红狗) Curious George(好奇猴乔治) Dora(朵拉) Dr. Seuss(苏斯博士) Eric Carle(艾瑞克·卡尔大师作品) Geronimo Stilton(老鼠记者) Harry Potter(哈利波特系列) Henry and Mudge(亨利和玛齐) I Can Read(I Can Read系列) Ladybird(小瓢虫) Magic Tree(神奇树屋系列) One Piece(海贼王) Roald Dahl(故事大王) The Magic School Bus(神奇校车系列) Warriors(猫武士)
图书、音像、电子书刊,英文原版,少儿,"https://list.jd.com/list.html?cat=1713,4855,4859",奖项：,Caldecott Medal Winner(凯迪克金奖) Caldecott Honor Books(凯迪克银奖) Newbery Medal Winner(纽伯瑞儿童文学奖金奖) Newbery Honor Books(纽伯瑞儿童文学奖银奖) Robert F. Sibert Medal Winner(罗伯特 F. 赛伯特奖) The Geisel Award Medal Winner(苏斯博士金奖) The Geisel Award Honor Books(苏斯博士银奖)
图书、音像、电子书刊,英文原版,商务投资,"https://list.jd.com/list.html?cat=1713,4855,4858",出版社： 已选条件：,Wiley W.W. Norton & Co. Vintage Thames & Hudson Springer Simon & Schuster Routledge Random House Princeton Review Prentice Hall Phaidon Press Penguin Books Pearson Pan Macmillan Oxford University Press O'Reilly Media McGraw-Hill Mariner Books
